date,exchange_rate_eur_to_tnd,exchange_rate_usd_to_tnd,inflation_rate,global_oil_price,climate_index
2020-01-01,3.25,2.95,6.8,65.50,0.85
2020-02-01,3.27,2.97,7.0,68.20,0.82
2020-03-01,3.22,2.92,6.9,45.30,0.88
2020-04-01,3.30,3.00,7.2,25.10,0.90
2020-05-01,3.28,2.98,7.1,35.60,0.92
2020-06-01,3.26,2.96,6.7,40.80,0.95
2020-07-01,3.24,2.94,6.5,43.20,0.98
2020-08-01,3.29,2.99,6.6,46.70,0.96
2020-09-01,3.31,3.01,6.9,48.90,0.91
2020-10-01,3.33,3.03,7.1,51.20,0.87
2020-11-01,3.35,3.05,7.3,55.40,0.83
2020-12-01,3.38,3.07,7.5,59.80,0.80
