date,product,price,volume,country,indicator
2020-01-15,OLIVE_OIL,2800.00,95.0,France,STABLE
2020-01-28,DATES,2200.00,70.0,Germany,STABLE
2020-02-12,CITRUS_FRUITS,950.00,150.0,Italy,RISING
2020-02-25,WHEAT,320.00,400.0,Spain,STABLE
2020-03-10,OLIVE_OIL,2850.00,98.0,France,RISING
2020-03-22,TOMATOES,650.00,250.0,Italy,VOLATILE
2020-04-05,DATES,2250.00,72.0,Belgium,STABLE
2020-04-18,PEPPERS,780.00,180.0,Netherlands,RISING
2020-05-08,OLIVE_OIL,2900.00,100.0,France,RISING
2020-05-20,CITRUS_FRUITS,980.00,155.0,Germany,STABLE
2020-06-12,DATES,2300.00,75.0,France,RISING
2020-06-25,OLIVE_OIL,2950.00,102.0,Italy,RISING
2020-07-10,TOMATOES,680.00,260.0,Spain,STABLE
2020-07-22,PEPPERS,800.00,185.0,Belgium,VOLATILE
2020-08-05,OLIVE_OIL,3000.00,105.0,France,RISING
2020-08-18,DATES,2350.00,78.0,Germany,STABLE
2020-09-08,CITRUS_FRUITS,1000.00,160.0,Italy,RISING
2020-09-20,WHEAT,330.00,420.0,France,STABLE
2020-10-12,OLIVE_OIL,3050.00,108.0,France,RISING
2020-10-25,DATES,2400.00,80.0,Netherlands,STABLE
2020-11-10,TOMATOES,700.00,270.0,Italy,RISING
2020-11-22,OLIVE_OIL,3100.00,110.0,France,RISING
2020-12-08,PEPPERS,820.00,190.0,Belgium,VOLATILE
2020-12-20,DATES,2450.00,82.0,Germany,STABLE
2021-01-10,OLIVE_OIL,3150.00,112.0,France,RISING
2021-01-22,CITRUS_FRUITS,1020.00,165.0,Spain,STABLE
2021-02-08,DATES,2500.00,85.0,Italy,RISING
2021-02-20,WHEAT,340.00,430.0,France,STABLE
2021-03-12,OLIVE_OIL,3200.00,115.0,France,RISING
2021-03-25,TOMATOES,720.00,280.0,Germany,STABLE
2021-04-10,DATES,2550.00,87.0,Belgium,RISING
2021-04-22,PEPPERS,840.00,195.0,Netherlands,VOLATILE
2021-05-08,OLIVE_OIL,3250.00,118.0,France,RISING
2021-05-20,CITRUS_FRUITS,1040.00,170.0,Italy,STABLE
2021-06-12,DATES,2600.00,90.0,France,RISING
2021-06-25,OLIVE_OIL,3300.00,120.0,France,RISING
2021-07-10,TOMATOES,740.00,290.0,Spain,STABLE
2021-07-22,WHEAT,350.00,440.0,Italy,RISING
2021-08-08,OLIVE_OIL,3350.00,122.0,France,RISING
2021-08-20,DATES,2650.00,92.0,Germany,STABLE
2021-09-10,CITRUS_FRUITS,1060.00,175.0,Belgium,RISING
2021-09-22,PEPPERS,860.00,200.0,Netherlands,VOLATILE
2021-10-12,OLIVE_OIL,3400.00,125.0,France,RISING
2021-10-25,DATES,2700.00,95.0,Italy,STABLE
2021-11-10,TOMATOES,760.00,295.0,France,RISING
2021-11-22,OLIVE_OIL,3450.00,128.0,France,RISING
2021-12-08,CITRUS_FRUITS,1080.00,180.0,Spain,STABLE
2021-12-20,DATES,2750.00,97.0,Germany,RISING
2022-01-10,OLIVE_OIL,3500.00,130.0,France,RISING
2022-01-22,WHEAT,360.00,450.0,Italy,STABLE
2022-02-08,DATES,2800.00,100.0,Belgium,RISING
2022-02-20,PEPPERS,880.00,205.0,Netherlands,VOLATILE
2022-03-12,OLIVE_OIL,3550.00,132.0,France,RISING
2022-03-25,CITRUS_FRUITS,1100.00,185.0,Germany,FALLING
2022-04-10,TOMATOES,780.00,300.0,Italy,STABLE
2022-04-22,DATES,2850.00,102.0,France,RISING
2022-05-08,OLIVE_OIL,3600.00,135.0,France,RISING
2022-05-20,WHEAT,370.00,460.0,Spain,RISING
2022-06-12,DATES,2900.00,105.0,Germany,RISING
2022-06-25,OLIVE_OIL,3650.00,138.0,France,VOLATILE
2022-07-10,CITRUS_FRUITS,1120.00,190.0,Italy,FALLING
2022-07-22,PEPPERS,900.00,210.0,Belgium,VOLATILE
2022-08-08,OLIVE_OIL,3700.00,140.0,France,RISING
2022-08-20,TOMATOES,800.00,305.0,Netherlands,STABLE
2022-09-10,DATES,2950.00,108.0,France,RISING
